Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
JEFF,Gateway Arch National Park,38.624901,-90.186317,226.4901987390351,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2055309,486021,1787630
GATE,Gateway National Recreation Area,40.6035923,-74.0588092,33453.57741296597,7697727,5043863,6191246,6021713,6392565,8651770,9190610,9243305,9405622,8404728,7624315
GARI,Gauley River National Recreation Area,38.22,-80.89,12861.774694353071,109780,115283,135309,117354,105374,115888,118733,97778,119282,109378,114416
GEGR,General Grant National Memorial,40.812908,-73.962923,0.8990727796052631,104769,92418,83440,100622,95526,109151,97005,73336,113852,24475,89459
GERO,George Rogers Clark National Historical Park,38.6778773,-87.5353188,28.41745614035088,145596,125972,128531,125218,135856,126095,117268,121187,140130,56108,122196
GEWA,George Washington Birthplace National Monument,38.185556,-76.916389,757.3498492324561,130647,134824,131683,131984,130952,129750,122457,111058,139666,41970,120499
GWCA,George Washington Carver National Monument,36.9859501,-94.3510047,268.43734923245614,30787,30425,33061,41535,37745,46397,46466,44411,49553,26569,38695
GWMP,George Washington Memorial Parkway,,,7813.337078536193,7417397,7425577,7360392,7472150,7286463,10323339,7562793,7288623,7487265,6237361,7586136
GETT,Gettysburg National Military Park,39.8122032,-77.2215251,7310.66412212172,1124659,1126577,1213349,1020702,1080185,1091320,1038649,949989,925117,536553,1010710
GICL,Gila Cliff Dwellings National Monument,32.77,-108.279999,615.852893366228,25317,28637,27825,31135,36518,41519,78872,79108,66614,31645,44719
GLBA,Glacier Bay National Park,58.8318772,-136.9987946,8506778.979280422,431986,454337,500590,500727,551353,520171,547057,597915,672087,5748,478197
GLAC,Glacier National Park,48.8046506,-114.1625084,1640626.5521203405,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309,3049839,1698864,2487676
GLCA,Glen Canyon National Recreation Area,37.3583836,-110.8076084,1413514.2843818525,2270817,2061328,1991924,2368452,2495093,3239525,4574940,4219441,4330563,2553392,3010548
GOGA,Golden Gate National Recreation Area,37.8439986,-122.5259596,93882.88687705598,14567487,14540338,14289121,15004420,14888537,15638777,14981897,15223697,15002227,12400045,14653655
GOSP,Golden Spike National Historical Park,41.6316468,-112.4947092,3394.532390350877,43933,42551,40704,44125,59147,60027,67811,60130,108154,53106,57969
GOIS,Governors Island National Monument,40.7012349,-74.0116813,28.166995614035088,402174,348249,355553,698227,438613,522859,625653,589798,590993,102915,467503
GRCA,Grand Canyon National Park,36.3551644,-112.6612088,1313657.4401973684,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495,5974411,2897098,5103793
GRPO,Grand Portage National Monument,47.95819,-89.6895741,1122.0769243421053,97440,93156,88598,88877,91751,95862,96051,94137,94985,66426,90728
GRTE,Grand Teton National Park,43.729398,-110.709055,422894.15413925436,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,3405614,3289638,3069628
GRKO,Grant-Kohrs Ranch National Historic Site,46.407891,-112.735579,2352.633241502193,20293,17095,18848,20565,22139,23176,24072,26676,25043,15328,21324
GRBA,Great Basin National Park,38.9295007,-114.2628251,90508.95366022472,91451,94850,92893,107526,116123,144846,168028,153094,131802,120248,122086
GRSA,Great Sand Dunes National Park,37.7275919,-105.6412527,122464.35957031246,280058,254674,242841,271774,299513,388308,486935,442905,527546,461532,365609
GRSM,Great Smoky Mountains National Park,35.691031,-83.536198,557561.9889830053,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,12547743,12095720,10757765
GREE,Greenbelt Park,38.995757,-76.895521,1352.1129057017545,190427,145552,142742,132688,135260,137900,141856,85260,128702,28319,126871
GUMO,Guadalupe Mountains National Park,31.903912,-104.868813,86218.84175918317,152546,159360,145670,166868,169535,181839,225257,172347,188833,151256,171351
GUCO,Guilford Courthouse National Military Park,36.1312015,-79.8488024,247.39306058114036,346617,313374,541581,173261,222602,321796,348991,236016,223900,186020,291416
GUIS,Gulf Islands National Seashore,30.393904,-87.0388,124615.01425986842,5501872,4973462,4837965,4455240,3976883,4771309,3952941,4229968,5600240,4012129,4631201
HAFO,Hagerman Fossil Beds National Monument,42.7816632,-114.9521998,5777.994186540579,21100,23936,21008,22482,24695,25982,31122,26477,23768,14113,23468
HALE,Haleakala National Park,20.856944,-156.313056,27426.49689487386,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,994394,319147,992934
HAGR,Hamilton Grange National Memorial,40.7073139,-74.010262,2.1755071271929824,7817,16358,20429,20943,35446,85348,85603,66216,71247,23015,43242
HAMP,Hampton National Historic Site,39.41789,-76.590414,73.86024054276315,32165,37529,32262,32498,34685,34942,32327,29615,28234,8728,30299
HAFE,Harpers Ferry National Historical Park,39.325379,-77.738882,4420.971393914474,255348,263105,255714,261202,282893,335691,342535,265737,299577,234473,279628
HATU,Harriet Tubman Underground Railroad National Historical Park,38.4483,-76.1387,29616.57092859105,0,0,0,0,0,0,0,0,0,0,0
HSTR,Harry S Truman National Historic Site,39.0936,-94.415252,14.638991228070175,28924,31316,28977,29364,32825,34616,45435,32878,30746,9446,30453
HAVO,Hawai'i Volcanoes National Park,19.299004,-155.3569573,288237.29575315263,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1116891,1368376,589775,1492425
HEHO,Herbert Hoover National Historic Site,41.671985,-91.346589,238.1393948739035,134249,128812,128919,139086,127154,152382,144619,138087,125688,56270,127527
PIMA,Hohokam Pima National Monument,33.1889835,-111.9224398,1715.7647978344298,0,0,0,0,0,0,0,0,0,0,0
HOFR,Home of Franklin D. Roosevelt National Historic Site,41.77043,-73.932905,1147.8494366776315,125488,135746,147218,179340,180405,193272,185743,154000,147109,40091,148841
