,Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
61,CARL,Carl Sandburg Home National Historic Site,35.273142,-82.453088,269.56018989999995,89721,93429,81710,82377,72606,80696,72777,72047,78144,42672,76618
62,CAVE,Carlsbad Caverns National Park,32.386916,-104.221362,46797.2668,365000,381058,388566,397309,445720,466773,520026,465912,440691,183835,405489
63,CAWO,Carter G. Woodson National Historic Site,38.91,-77.024167,0.19019522100000003,0,0,0,0,0,0,1884,1954,2381,548,1692
64,CAGR,Casa Grande Ruins National Monument,32.995425,-111.5354502,473.237847,72308,68631,65106,63698,72606,75752,75583,62995,68379,44269,66933
65,CASA,Castillo de San Marcos National Monument,29.897989,-81.312123,20.04432674,741042,727243,778128,760708,819154,854664,876975,748058,673395,251061,723043
66,CACL,Castle Clinton National Monument,40.7035011,-74.0168506,1.275232649,3985366,3264439,2180694,4727110,4597029,4812930,4737113,4533564,4361034,633793,3783307
67,CAMO,Castle Mountains National Monument,35.25,-115.11,20870.30689,0,0,0,0,0,0,0,0,0,0,0
68,CATO,Catoctin Mountain Park,39.633853,-77.448206,5740.454027000001,264460,263797,175213,188170,229301,221750,236243,299860,296846,539983,271562
69,CEBR,Cedar Breaks National Monument,37.6845859,-113.0965036,6124.966513,493147,631809,466450,762907,793601,899676,909199,644515,579861,845867,702703
70,CEBE,Cedar Creek and Belle Grove National Historical Park,39.1675,-78.300833,3468.952139,0,0,0,0,0,0,0,0,0,0,0
71,CECH,Cesar E. Chavez National Monument,35.2273,-118.5614,117.5721062,0,0,8157,8854,10648,17216,15472,12769,16490,5668,11909
72,CHCU,Chaco Culture National Historical Park,36.0638,-107.9708,34375.33196,39175,39044,29917,38386,38914,54084,55334,57781,47342,8231,40821
73,CHAM,Chamizal National Memorial,31.7680934,-106.4583047,54.56660573,113817,104148,121937,108399,122431,147937,86400,66479,38228,19180,92896
74,CHIS,Channel Islands National Park,34.245852,-119.2664691,245685.1578,242756,249594,212029,342161,324816,364807,383687,366250,409630,167290,306302
75,CHPI,Charles Pinckney National Historic Site,32.758321,-79.856317,28.23616758,45254,44314,47309,53486,46995,53184,53744,34354,35495,23723,43786
76,CHYO,Charles Young Buffalo Soldiers National Monument,39.707252000000004,-83.890227,60.27894721,0,0,0,0,3993,10211,12405,31448,14106,2461,12437
77,CHAT,Chattahoochee River National Recreation Area,33.9968515,-84.3338522,11877.25961,3161297,3168137,3039892,3119160,3173204,2736385,2768499,2873866,3393133,3066877,3050045
78,CHOH,Chesapeake and Ohio Canal National Historical Park,39.6105435,-77.6881048,20804.461890000002,3937504,4712377,4941367,5066219,4798312,4813078,4859573,4438818,5116787,4888436,4757247
79,CHCH,Chickamauga and Chattanooga National Military Park,34.942377,-85.259056,9843.996974,1036699,1032844,905984,996694,1002373,1027738,994537,945962,977158,678414,959840
80,CHIC,Chickasaw National Recreation Area,34.5089397,-96.969625,9873.792959999999,1212139,1487039,1099669,1152083,1254105,1676421,1533684,1477906,1422612,1348122,1366378
81,CHIR,Chiricahua National Monument,32.007788,-109.361298,12204.465709999999,37037,41159,40646,45125,56960,51277,63132,60577,60655,44794,50136
82,CHRI,Christiansted National Historic Site,17.746944,-64.702222,26.01276879,119335,126962,118638,109159,116817,115446,96779,107494,103594,23816,103804
83,CIRO,City of Rocks National Reserve,42.0774026,-113.7037797,14537.825019999998,95764,98996,94906,94825,105289,107865,130276,142250,99311,110203,107969
84,CLBA,Clara Barton National Historic Site,38.967151,-77.1403459,8.326043247000001,15620,25347,22737,20028,2823,0,0,425,4100,450,9153
85,COLO,Colonial National Historical Park,37.218889000000004,-76.5175,8510.509891,3414577,3274187,3168731,3335060,3343909,3352656,3333448,3294224,3327268,2946594,3279065
86,COLM,Colorado National Monument,39.0556092,-108.7007007,20448.382569999998,435460,454510,409351,416862,588006,391075,375035,375467,397032,435625,427842
