Code,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
GUCO,Guilford Courthouse NMP,"346,617","313,374","541,581","173,261","222,602","321,796","348,991","236,016","223,900","186,020","291,416"
GUIS,Gulf Islands NS,"5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309","3,952,941","4,229,968","5,600,240","4,012,129","4,631,201"
HAFO,Hagerman Fossil Beds NM,"21,100","23,936","21,008","22,482","24,695","25,982","31,122","26,477","23,768","14,113","23,468"
HALE,Haleakala NP,"956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558","1,112,390","1,044,084","994,394","319,147","992,934"
HAGR,Hamilton Grange NMEM,"7,817","16,358","20,429","20,943","35,446","85,348","85,603","66,216","71,247","23,015","43,242"
HAMP,Hampton NHS,"32,165","37,529","32,262","32,498","34,685","34,942","32,327","29,615","28,234","8,728","30,299"
HAFE,Harpers Ferry NHP,"255,348","263,105","255,714","261,202","282,893","335,691","342,535","265,737","299,577","234,473","279,628"
HSTR,Harry S Truman NHS,"28,924","31,316","28,977","29,364","32,825","34,616","45,435","32,878","30,746","9,446","30,453"
HAVO,Hawaii Volcanoes NP,"1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580","2,016,702","1,116,891","1,368,376","589,775","1,492,425"
HEHO,Herbert Hoover NHS,"134,249","128,812","128,919","139,086","127,154","152,382","144,619","138,087","125,688","56,270","127,527"
HOFR,Home of Franklin D. Roosevelt NHS,"125,488","135,746","147,218","179,340","180,405","193,272","185,743","154,000","147,109","40,091","148,841"
HOME,Homestead NM of America,"69,845","103,708","67,396","69,156","78,739","87,755","123,400","68,091","61,636","40,897","77,062"
HOCU,Hopewell Culture NHP,"33,834","39,462","32,206","36,432","43,587","58,058","62,413","57,335","60,338","35,710","45,938"
HOFU,Hopewell Furnace NHS,"44,873","52,870","46,138","48,105","51,252","54,167","49,306","46,407","49,861","34,288","47,727"
HOBE,Horseshoe Bend NMP,"65,892","58,668","55,965","64,359","89,282","83,370","74,255","48,491","45,372","28,600","61,425"
HOSP,Hot Springs NP,"1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300","1,561,616","1,506,887","1,467,153","1,348,215","1,429,540"
HOVE,Hovenweep NM,"25,858","26,710","24,959","26,808","35,117","42,862","39,970","40,574","35,399","19,856","31,811"
HUTR,Hubbell Trading Post NHS,"88,231","75,061","75,678","81,475","66,324","67,276","45,800","39,361","50,285","11,407","60,090"
INDE,Independence NHP,"3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510","4,790,758","4,576,456","4,532,459","907,090","3,855,429"
INDU,Indiana Dunes NP,"1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223","2,158,471","1,756,079","2,134,285","2,293,106","1,864,532"
ISRO,Isle Royale NP,"15,892","16,663","16,274","14,560","18,684","24,966","28,196","25,798","26,410","6,493","19,394"
JAGA,James A. Garfield NHS,"31,499","36,375","21,027","17,956","24,506","45,437","53,536","40,835","41,305","14,797","32,727"
JELA,Jean Lafitte NHP & PRES,"420,366","419,694","400,128","445,524","405,618","438,420","456,666","529,878","590,329","192,601","429,922"
JECA,Jewel Cave NM,"77,146","109,300","98,259","104,348","116,444","137,275","144,537","142,356","123,489","35,878","108,903"
JICA,Jimmy Carter NHS,"66,157","69,940","67,455","62,057","67,797","66,441","60,735","51,680","50,789","14,267","57,732"
JODR,"John D. Rockefeller, Jr. MEM PKWY","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819","1,433,292","1,504,561","1,426,666","1,373,817","1,341,957"
JODA,John Day Fossil Beds NM,"148,002","148,152","156,285","183,420","196,277","210,110","214,557","204,621","197,091","88,571","174,709"
JOFI,John F. Kennedy NHS,"18,466","22,642","17,273","26,273","18,485","25,467","30,399","24,077","24,838",451,"20,837"
JOMU,John Muir NHS,"31,236","37,403","37,777","41,535","42,615","49,376","46,876","46,957","40,725","33,603","40,810"
JOFL,Johnstown Flood NMEM,"105,906","123,081","121,923","141,354","163,431","154,931","171,376","146,269","183,143","87,805","139,922"
JOTR,Joshua Tree NP,"1,396,237","1,396,117","1,383,340","1,589,904","2,025,756","2,505,286","2,853,619","2,942,382","2,988,547","2,399,542","2,148,073"
KALA,Kalaupapa NHP,"57,841","58,875","101,112","67,210","67,891","71,527","76,512","72,146","69,401","15,847","65,836"
KAHO,Kaloko Honokohau NHP,"162,906","153,584","158,124","154,206","170,683","185,041","196,857","218,015","232,921","133,877","176,621"
KAWW,Katahdin Woods and Waters NM,,,,,,,,,,"41,432","41,432"
KATM,Katmai NP & PRES,"48,939","39,818","28,966","30,896","37,818","37,818","37,818","37,818","84,167","51,511","43,557"
KEFJ,Kenai Fjords NP,"346,852","281,279","283,502","270,666","296,697","346,534","303,598","321,596","356,601","115,882","292,321"
KEMO,Kennesaw Mountain NBP,"1,748,436","1,935,909","1,924,076","2,119,013","2,174,870","2,360,256","2,593,725","2,549,164","2,621,050","2,356,401","2,238,290"
KEWE,Keweenaw NHP,,,,,,"14,612","16,479","20,416","20,535","2,130","14,834"
KICA,Kings Canyon NP,"566,810","591,033","567,544","502,268","468,106","607,479","692,932","699,023","632,110","415,077","574,238"
KIMO,Kings Mountain NMP,"272,325","265,713","247,632","251,093","257,077","263,357","291,841","287,635","262,031","249,477","264,818"
KLGO,Klondike Gold Rush NHP Alaska,"795,150","854,250","928,150","1,085,202","919,661","912,351","906,485","1,017,298","1,116,161",297,"853,501"
KNRI,Knife River Indian Villages NHS,"16,025","16,010","14,476","10,750","11,377","13,328","11,644","11,682","10,354","5,263","12,091"
KOVA,Kobuk Valley NP,"11,485","29,550","16,875",0,0,"15,500","15,500","14,937","15,766","11,185","13,080"
KOWA,Korean War Veterans Memorial,"3,073,430","3,267,124","3,209,279","3,767,287","4,077,835","4,084,298","4,155,947","4,107,520","3,841,633","1,363,714","3,494,807"
